Name,Full Ticker,Ticker,Sector,Market Cap,Net Debt,Enterprise Value (EV),Revenue,Revenue Forecast CAGR (10y),Avg EBITDA Margin Forecast (10y),Avg Capital Expenditures Margin (5y),Marginal Tax Rate,Industry,Operating Region,Operating Country
"Vail Resorts, Inc.",NYSE:MTN,MTN,Consumer Discretionary,14330.304,1844.501,16409.274,1909.71,0.0654,0.3514,0.0762,0.15,"Hotels, Restaurants & Leisure",United States,United States
News Corporation,NASDAQGS:NWS,NWS,Communication Services,14327.7616,1358,16178.7616,9358,0.0305,0.1798,0.0427,0.25,Media,United States,United States
News Corporation,NASDAQGS:NWSA,NWSA,Communication Services,14327.7616,1358,16178.7616,9358,0.0305,0.1798,0.0427,0.25,Media,United States,United States
"Huaneng Power International, Inc.",NYSE:HNP,HNP,Utilities,14317.1416,35727.4745,49239.6498,28713.4968,0.0475,0.2564,0.1821,0.34,Independent Power & Renewable Electricity Producers,Asia / Pacific,China
"Huaneng Power International, Inc.",OTCPK:HUNG.F,HUNG.F,Utilities,14317.1416,35727.4745,50167.5031,28713.4968,0.0475,0.2564,0.1821,0.34,Independent Power & Renewable Electricity Producers,Asia / Pacific,China
The Siam Cement Public Company Limited,OTCPK:SCVP.F,SCVP.F,Materials,14262.5608,5761.6,19191.8374,14163.841,0.0461,0.1472,0.0867,0.11,Construction Materials,Asia / Pacific,Thailand
Bureau Veritas SA,OTCPK:BVRD.F,BVRD.F,Industrials,14259.7507,1847.4858,16462.5009,5715.0142,0.0409,0.2047,0.0276,0.37,Professional Services,Europe,France
Bureau Veritas SA,OTCPK:BVVB.Y,BVVB.Y,Industrials,14259.7507,1847.4858,16478.5765,5715.0142,0.0409,0.2047,0.0276,0.37,Professional Services,Europe,France
Brookfield Renewable Corporation,NYSE:BEPC,BEPC,Utilities,14225.8363,12538,36313.362,3220,0.0554,0.4846,0.1057,0.22,Independent Power & Renewable Electricity Producers,United States,United States
AMERCO,NASDAQGS:UHAL,UHAL,Industrials,14207.411,3247.014,14028.202,5027.604,-0.016,0.0801,0.4421,0.27,Road & Rail,United States,United States
Sonic Healthcare Limited,OTCPK:SKHC.F,SKHC.F,Healthcare,14196.4,1752.0478,15859.5493,6564.2794,0.0121,0.217,0.0459,0.23,Healthcare Providers & Services,Asia / Pacific,Australia
Sonic Healthcare Limited,OTCPK:SKHH.Y,SKHH.Y,Healthcare,14196.4,1752.0478,15859.5493,6564.2794,0.0121,0.217,0.0459,0.23,Healthcare Providers & Services,Asia / Pacific,Australia
Lightspeed Commerce Inc.,NYSE:LSPD,LSPD,Information Technology,14191.2446,-543.848,13646.4622,301.419,0.2949,0.0667,0.0234,0.15,Software,Canada & Mexico,Canada
Edenred SA,OTCPK:EDNM.F,EDNM.F,Information Technology,14165.0246,1808.5863,16148.9043,1759.962,0.072,0.4229,0.065,0.31,IT Services,Europe,France
Edenred SA,OTCPK:EDNM.Y,EDNM.Y,Information Technology,14165.0246,1808.5863,16148.9043,1759.962,0.072,0.4229,0.065,0.31,IT Services,Europe,France
China Coal Energy Company Limited,OTCPK:CCOZ.F,CCOZ.F,Energy,14154.763,7309.2864,21245.904,27611.159,0.0285,0.1853,0.0967,0.26,"Oil, Gas & Consumable Fuels",Asia / Pacific,China
Opendoor Technologies Inc.,NASDAQGS:OPEN,OPEN,Real Estate,14142.5567,578.091,14720.6477,2520.159,0.3892,0.0322,0.0064,0.15,Real Estate Management & Development,United States,United States
"Williams-Sonoma, Inc.",NYSE:WSM,WSM,Consumer Discretionary,14098.2202,552.738,14650.9582,7754.577,0.0532,0.1843,0.033,0.29,Specialty Retail,United States,United States
Umicore SA,OTCPK:UMIC.F,UMIC.F,Materials,14093.1974,1233.9896,15611.1107,27783.5436,-0.1181,0.2571,0.0262,0.25,Chemicals,Europe,Belgium
Umicore SA,OTCPK:UMIC.Y,UMIC.Y,Materials,14093.1974,1233.9896,15611.1107,27783.5436,-0.1181,0.2571,0.0262,0.25,Chemicals,Europe,Belgium
"Cardinal Health, Inc.",NYSE:CAH,CAH,Healthcare,14066.0257,3308,17377.0257,162467,0.0346,0.0161,0.0027,0.19,Healthcare Providers & Services,United States,United States
"Jerónimo Martins, SGPS, S.A.",OTCPK:JRON.Y,JRON.Y,Consumer Staples,14042.8345,2243.0242,16766.4573,23576.0436,0.0347,0.0665,0.0336,0.24,Food & Staples Retailing,Europe,Portugal
RH,NYSE:RH,RH,Consumer Discretionary,14039.18,1445.396,15484.576,3506.1,0.0755,0.285,0.0521,0.25,Specialty Retail,United States,United States
DLocal Limited,NASDAQGS:DLO,DLO,Information Technology,14013.8509,-263.146,13750.7169,164.72,0.332,0.42,0.0848,0.11,IT Services,"Latin America, Middle East & Africa",Uruguay
VAT Group AG,OTCPK:VACN.Y,VACN.Y,Industrials,14001.2439,224.2589,13332.4679,853.6708,0.1366,0.3737,0.0351,0.19,Machinery,Europe,Switzerland
Vivendi SE,OTCPK:VIVE.F,VIVE.F,Communication Services,13974.6391,5061.6698,10963.5047,19847.0114,-0.0341,0.1246,0.0243,0.16,Media,Europe,France
Vivendi SE,OTCPK:VIVH.Y,VIVH.Y,Communication Services,13974.6391,5061.6698,10963.5047,19847.0114,-0.0341,0.1246,0.0243,0.16,Media,Europe,France
IHH Healthcare Berhad,OTCPK:IHHH.F,IHHH.F,Healthcare,13962.5721,1544.1738,16246.7066,3731.8813,0.0654,0.2671,0.1111,0.31,Healthcare Providers & Services,Asia / Pacific,Malaysia
Agnico Eagle Mines Limited,NYSE:AEM,AEM,Materials,13943.7274,1406.559,15092.5324,3809.772,0.0214,0.5137,0.3615,0.35,Metals & Mining,Canada & Mexico,Canada
"Jerónimo Martins, SGPS, S.A.",OTCPK:JRON.F,JRON.F,Consumer Staples,13913.6053,2243.0242,16766.4573,23576.0436,0.0347,0.0665,0.0336,0.24,Food & Staples Retailing,Europe,Portugal
Tsingtao Brewery Company Limited,OTCPK:TSGT.F,TSGT.F,Consumer Staples,13903.3537,-3730.0788,10114.7767,4703.641,0.0376,0.1829,0.0366,0.35,Beverages,Asia / Pacific,China
Tsingtao Brewery Company Limited,OTCPK:TSGT.Y,TSGT.Y,Consumer Staples,13903.3537,-3730.0788,10114.7767,4703.641,0.0376,0.1829,0.0366,0.35,Beverages,Asia / Pacific,China
CSPC Pharmaceutical Group Limited,OTCPK:CHJT.F,CHJT.F,Healthcare,13830.5448,-1755.1989,11514.104,4053.6591,0.0664,0.2705,0.0781,0.19,Pharmaceuticals,Asia / Pacific,China
"Sekisui House, Ltd.",OTCPK:SKHS.F,SKHS.F,Consumer Discretionary,13814.3488,-307.1041,12440.5192,22809.9296,0.0136,0.0989,0.0318,0.3,Household Durables,Asia / Pacific,Japan
"Sekisui House, Ltd.",OTCPK:SKHS.Y,SKHS.Y,Consumer Discretionary,13814.3488,-307.1041,12440.5192,22809.9296,0.0136,0.0989,0.0318,0.3,Household Durables,Asia / Pacific,Japan
Stora Enso Oyj,OTCPK:SEOA.Y,SEOA.Y,Materials,13813.7077,3255.7331,15376.9411,11116.5161,0.0228,0.1911,0.0657,0.21,Paper & Forest Products,Europe,Finland
Stora Enso Oyj,OTCPK:SEOJ.F,SEOJ.F,Materials,13813.7077,3255.7331,15605.1997,11116.5161,0.0228,0.1922,0.0657,0.21,Paper & Forest Products,Europe,Finland
China Gas Holdings Limited,OTCPK:CGHL.Y,CGHL.Y,Utilities,13803.4364,5367.2439,18846.5176,9001.3109,0.0949,0.2277,0.1173,0.2,Gas Utilities,Asia / Pacific,Hong Kong
China Gas Holdings Limited,OTCPK:CGHO.F,CGHO.F,Utilities,13803.4364,5367.2439,18846.5176,9001.3109,0.0949,0.2277,0.1173,0.2,Gas Utilities,Asia / Pacific,Hong Kong
NEXT plc,OTCPK:NXGP.Y,NXGP.Y,Consumer Discretionary,13802.127,2193.5152,16392.9014,6005.587,0.0629,0.1927,0.0342,0.18,Multiline Retail,United Kingdom & Ireland,United Kingdom
"Lumen Technologies, Inc.",NYSE:LUMN,LUMN,Communication Services,13793.297,30623,44416.297,20245,-0.0163,0.429,0.1668,0.39,Diversified Telecommunication Services,United States,United States
Carrefour SA,OTCPK:CRER.F,CRER.F,Consumer Staples,13783.6686,18211.575,31985.2849,85367.6471,0.0097,0.0665,0.0257,0.36,Food & Staples Retailing,Europe,France
Carrefour SA,OTCPK:CRRF.Y,CRRF.Y,Consumer Staples,13783.6686,18211.575,31985.2849,85367.6471,0.0097,0.0665,0.0257,0.36,Food & Staples Retailing,Europe,France
"Marqeta, Inc.",NASDAQGS:MQ,MQ,Information Technology,13706.1186,-1667.504,12038.6146,402.751,0.2371,-0.0854,0.0136,0.41,IT Services,United States,United States
GFL Environmental Inc.,NYSE:GFL,GFL,Industrials,13667.8921,5314.3779,18949.8022,3849.5664,0.0713,0.2796,0.124,0.25,Commercial Services & Supplies,Canada & Mexico,Canada
Dollarama Inc.,OTCPK:DLMA.F,DLMA.F,Consumer Discretionary,13645.5001,2641.0531,16335.4329,3326.5728,0.0902,0.3094,0.0344,0.27,Multiline Retail,Canada & Mexico,Canada
The Swatch Group AG,OTCPK:SWGA.F,SWGA.F,Consumer Discretionary,13630.2685,-2131.2698,11647.275,7338.3985,0.0697,0.2209,0.0499,0.22,"Textiles, Apparel & Luxury Goods",Europe,Switzerland
The Swatch Group AG,OTCPK:SWGA.Y,SWGA.Y,Consumer Discretionary,13630.2685,-2131.2698,11647.275,7338.3985,0.0697,0.2209,0.0499,0.22,"Textiles, Apparel & Luxury Goods",Europe,Switzerland
The Swatch Group AG,OTCPK:SWGN.F,SWGN.F,Consumer Discretionary,13630.2685,-2131.2698,11647.275,7338.3985,0.0697,0.2209,0.0499,0.22,"Textiles, Apparel & Luxury Goods",Europe,Switzerland
Pandora A/S,OTCPK:PAND.Y,PAND.Y,Consumer Discretionary,13618.4586,479.2182,14078.1689,3447.1815,0.0662,0.3611,0.0309,0.23,"Textiles, Apparel & Luxury Goods",Europe,Denmark
Pandora A/S,OTCPK:PNDZ.F,PNDZ.F,Consumer Discretionary,13618.4586,479.2182,14078.1689,3447.1815,0.0662,0.3613,0.0309,0.23,"Textiles, Apparel & Luxury Goods",Europe,Denmark
"Crown Holdings, Inc.",NYSE:CCK,CCK,Materials,13601.9109,7666,21729.9109,12552,0.03,0.1704,0.0495,0.3,Containers & Packaging,United States,United States
IAC/InterActiveCorp,NASDAQGS:IAC,IAC,Communication Services,13593.9885,-2608.353,8692.2085,3377.555,0.0855,0.1396,0.0253,0.18,Interactive Media & Services,United States,United States
Open Text Corporation,NASDAQGS:OTEX,OTEX,Information Technology,13593.0842,2261.294,15855.8892,3386.115,-0.0291,0.4075,0.0287,0.35,Software,Canada & Mexico,Canada
"Grifols, S.A.",NASDAQGS:GRFS,GRFS,Healthcare,13590.0148,8546.1101,22061.3255,6166.1871,0.0473,0.2926,0.0562,0.17,Biotechnology,Europe,Spain
"Grifols, S.A.",OTCPK:GIFL.F,GIFL.F,Healthcare,13590.0148,8546.1101,21933.8755,6166.1871,0.0473,0.2926,0.0562,0.17,Biotechnology,Europe,Spain
"Grifols, S.A.",OTCPK:GIKL.Y,GIKL.Y,Healthcare,13590.0148,8546.1101,21933.8755,6166.1871,0.0473,0.2926,0.0562,0.17,Biotechnology,Europe,Spain
Solvay SA,OTCPK:SVYS.F,SVYS.F,Materials,13573.7824,2906.7837,15095.3634,11838.2353,0.0349,0.2286,0.0645,0.16,Chemicals,Europe,Belgium
Tenaris S.A.,NYSE:TS,TS,Energy,13553.4973,-330.123,11968.2602,4853.678,0.0628,0.195,0.0769,0.31,Energy Equipment & Services,Europe,Luxembourg
Tenaris S.A.,OTCPK:TNRS.F,TNRS.F,Energy,13553.4973,-330.123,12327.1779,4853.678,0.0618,0.1971,0.0769,0.31,Energy Equipment & Services,Europe,Luxembourg
Makita Corporation,OTCPK:MKTA.Y,MKTA.Y,Industrials,13547.4848,-1056.3442,12508.1347,6001.0983,0.0431,0.1698,0.055,0.29,Machinery,Asia / Pacific,Japan
Tenaga Nasional Berhad,OTCPK:TNAB.F,TNAB.F,Utilities,13539.9883,15754.6888,29245.8292,10918.4302,0.0341,0.3522,0.2134,0.15,Electric Utilities,Asia / Pacific,Malaysia
KION GROUP AG,OTCPK:KIGR.Y,KIGR.Y,Industrials,13529.8329,1952.0873,15410.1052,11126.8975,0.0688,0.1464,0.0299,0.24,Machinery,Europe,Germany
KION GROUP AG,OTCPK:KNNG.F,KNNG.F,Industrials,13529.8329,1952.0873,15410.1052,11126.8975,0.0688,0.1464,0.0299,0.24,Machinery,Europe,Germany
BioMarin Pharmaceutical Inc.,NASDAQGS:BMRN,BMRN,Healthcare,13520.3953,-35.263,13120.4953,1916.624,0.1076,0.3322,0.1062,0.35,Biotechnology,United States,United States
Alstom SA,OTCPK:ALSM.Y,ALSM.Y,Industrials,13509.9132,1967.1747,13990.3481,10298.9449,0.0782,0.1059,0.0356,0.19,Machinery,Europe,France
Alstom SA,OTCPK:AOMF.F,AOMF.F,Industrials,13509.9132,1967.1747,13990.3481,10298.9449,0.0782,0.1059,0.0356,0.19,Machinery,Europe,France
Randstad N.V.,OTCPK:RANJ.F,RANJ.F,Industrials,13504.2507,271.0215,13716.2976,27303.6831,0.0014,0.0381,0.0026,0.21,Professional Services,Europe,Netherlands
Randstad N.V.,OTCPK:RANJ.Y,RANJ.Y,Industrials,13504.2507,271.0215,13716.2976,27303.6831,0.0014,0.0381,0.0026,0.21,Professional Services,Europe,Netherlands
Tenaga Nasional Berhad,OTCPK:TNAB.Y,TNAB.Y,Utilities,13455.3152,15754.6888,29245.8292,10918.4302,0.0341,0.3522,0.2134,0.15,Electric Utilities,Asia / Pacific,Malaysia
Coca-Cola HBC AG,OTCPK:CCHB.F,CCHB.F,Consumer Staples,13449.2174,1599.1221,14492.5235,7769.0117,0.0733,0.18,0.0642,0.22,Beverages,Europe,Switzerland
CSPC Pharmaceutical Group Limited,OTCPK:CSPC.Y,CSPC.Y,Healthcare,13409.535,-1755.1989,11514.104,4053.6591,0.0664,0.2705,0.0781,0.19,Pharmaceuticals,Asia / Pacific,China
Telefônica Brasil S.A.,NYSE:VIV,VIV,Communication Services,13349.3924,926.3958,16015.322,8738.676,0.0332,0.4255,0.1909,0.21,Diversified Telecommunication Services,"Latin America, Middle East & Africa",Brazil
Jones Lang LaSalle Incorporated,NYSE:JLL,JLL,Real Estate,13344.1728,2195.9,15023.9728,9475.7,0.0515,0.12,0.0206,0.29,Real Estate Management & Development,United States,United States
Freshworks Inc.,NASDAQGS:FRSH,FRSH,Information Technology,13338.5677,-240.617,16374.8707,308.116,0.201,-0.0648,0.0294,0.41,Software,United States,United States
The J. M. Smucker Company,NYSE:SJM,SJM,Consumer Staples,13324.8473,4615.1,17939.9473,7888.9,0.014,0.1965,0.0369,0.27,Food Products,United States,United States
Thai Beverage Public Company Limited,OTCPK:TBVP.F,TBVP.F,Consumer Staples,13322.288,6037.6607,18893.6388,7959.6635,0.0248,0.1742,0.0226,0.17,Beverages,Asia / Pacific,Thailand
Iron Mountain Incorporated,NYSE:IRM,IRM,Real Estate,13315.1744,11001.483,24381.3174,4298.096,0.0182,0.37,0.1132,0.16,Equity Real Estate Investment Trusts (REITs),United States,United States
Kesko Oyj,OTCPK:KKOY.F,KKOY.F,Consumer Staples,13312.837,2561.5512,16018.6236,12857.8036,0.0237,0.1054,0.0251,0.19,Food & Staples Retailing,Europe,Finland
Kesko Oyj,OTCPK:KKOY.Y,KKOY.Y,Consumer Staples,13312.837,2561.5512,16018.6236,12857.8036,0.0237,0.1054,0.0251,0.19,Food & Staples Retailing,Europe,Finland
Nemetschek SE,OTCPK:NEMT.F,NEMT.F,Information Technology,13284.5169,6.3354,12775.829,750.7211,0.1156,0.3179,0.0235,0.21,Software,Europe,Germany
"Fortune Brands Home & Security, Inc.",NYSE:FBHS,FBHS,Industrials,13265.3314,2306.7,15572.0314,7018.9,0.0512,0.1801,0.0262,0.26,Building Products,United States,United States
"Mohawk Industries, Inc.",NYSE:MHK,MHK,Consumer Discretionary,13261.8978,1659.092,14927.8138,10839.493,0.0444,0.1783,0.0692,0.16,Household Durables,United States,United States
South32 Limited,OTCPK:SHTL.F,SHTL.F,Materials,13224.2372,-406,12510.6007,5578,0.0519,0.3231,0.0839,0.21,Metals & Mining,Asia / Pacific,Australia
South32 Limited,OTCPK:SOUH.Y,SOUH.Y,Materials,13224.2372,-406,12510.6007,5578,0.0519,0.3231,0.0839,0.21,Metals & Mining,Asia / Pacific,Australia
Allegro.eu SA,OTCPK:ALEG.F,ALEG.F,Consumer Discretionary,13210.528,1057.8359,14314.8747,1244.7837,0.1823,0.4224,0.0552,0.27,Internet & Direct Marketing Retail,Europe,Luxembourg
"Procore Technologies, Inc.",NYSE:PCOR,PCOR,Information Technology,13172.0502,-968.908,12203.1422,448.129,0.1398,-0.0032,0.0353,0.15,Software,United States,United States
"ENEOS Holdings, Inc.",OTCPK:JXHG.F,JXHG.F,Energy,13167.9634,21034.8382,30513.3888,75040.6446,0.0371,0.0658,0.0317,0.33,"Oil, Gas & Consumable Fuels",Asia / Pacific,Japan
"ENEOS Holdings, Inc.",OTCPK:JXHL.Y,JXHL.Y,Energy,13167.9634,21034.8382,30513.3888,75040.6446,0.0371,0.0658,0.0317,0.33,"Oil, Gas & Consumable Fuels",Asia / Pacific,Japan
Mahindra & Mahindra Limited,OTCPK:MAHM.F,MAHM.F,Consumer Discretionary,13144.6887,7692.4811,22343.0537,11072.8393,0.0348,0.1733,0.0725,0.33,Automobiles,Asia / Pacific,India
Aeroports de Paris SA,OTCPK:AEOX.F,AEOX.F,Industrials,13142.6732,9418.8805,21240.915,2322.1063,0.1014,0.3518,0.2784,0.29,Transportation Infrastructure,Europe,France
Aeroports de Paris SA,OTCPK:ARRP.Y,ARRP.Y,Industrials,13142.6732,9418.8805,21240.915,2322.1063,0.1014,0.3518,0.2784,0.29,Transportation Infrastructure,Europe,France
"C.H. Robinson Worldwide, Inc.",NASDAQGS:CHRW,CHRW,Industrials,13131.6611,1509.137,14640.7981,19110.847,0.0392,0.052,0.0028,0.27,Air Freight & Logistics,United States,United States
Yara International ASA,OTCPK:YARI.Y,YARI.Y,Materials,13125.5843,3451,16919.1397,14442,0.0378,0.1714,0.0953,0.22,Chemicals,Europe,Norway
Yara International ASA,OTCPK:YRAI.F,YRAI.F,Materials,13125.5843,3451,16914.1594,14442,0.0335,0.165,0.0953,0.22,Chemicals,Europe,Norway
Koninklijke KPN N.V.,OTCPK:KKPN.F,KKPN.F,Communication Services,13098.6916,7703.9848,20130.2538,6231.0247,0.0006,0.4843,0.1558,0.22,Diversified Telecommunication Services,Europe,Netherlands
Koninklijke KPN N.V.,OTCPK:KKPN.Y,KKPN.Y,Communication Services,13098.6916,7703.9848,20130.2538,6231.0247,0.0006,0.4843,0.1558,0.22,Diversified Telecommunication Services,Europe,Netherlands
Smurfit Kappa Group Plc,OTCPK:SMFK.Y,SMFK.Y,Materials,13092.6195,3041.9829,16422.8144,10680.74,0.0364,0.1767,0.0578,0.19,Containers & Packaging,United Kingdom & Ireland,Ireland
Smurfit Kappa Group Plc,OTCPK:SMFT.F,SMFT.F,Materials,13092.6195,3041.9829,16422.8144,10680.74,0.0364,0.1767,0.0578,0.19,Containers & Packaging,United Kingdom & Ireland,Ireland
TDK Corporation,OTCPK:TTDK.F,TTDK.F,Information Technology,13078.7815,1264.7522,13994.5318,14310.42,0.0495,0.2178,0.1358,0.33,"Electronic Equipment, Instruments & Components",Asia / Pacific,Japan
TDK Corporation,OTCPK:TTDK.Y,TTDK.Y,Information Technology,13078.7815,1264.7522,13994.5318,14310.42,0.0495,0.2175,0.1358,0.33,"Electronic Equipment, Instruments & Components",Asia / Pacific,Japan
Marathon Oil Corporation,NYSE:MRO,MRO,Energy,13071.6528,4043,16593.6528,4034,0.0312,0.6722,0.4283,0.12,"Oil, Gas & Consumable Fuels",United States,United States
Howmet Aerospace Inc.,NYSE:HWM,HWM,Industrials,13064.6648,3654,16773.6649,4776,0.052,0.2722,0.0667,0.34,Aerospace & Defense,United States,United States
American Homes 4 Rent,NYSE:AMH,AMH,Real Estate,13033.185,3406.729,17115.989,1241.032,0.0339,0.5278,0.0208,0.15,Equity Real Estate Investment Trusts (REITs),United States,United States
PT Unilever Indonesia Tbk,OTCPK:UNLR.F,UNLR.F,Consumer Staples,13028.2673,288.765,13725.5564,2843.6008,0.0665,0.3265,0.0307,0.25,Household Products,Asia / Pacific,Indonesia
PT Unilever Indonesia Tbk,OTCPK:UNLR.Y,UNLR.Y,Consumer Staples,13028.2673,288.765,13725.5564,2843.6008,0.0665,0.3265,0.0307,0.25,Household Products,Asia / Pacific,Indonesia
Getinge AB,OTCPK:GNGB.F,GNGB.F,Healthcare,12999.8655,102.942,12331.0404,3187.6607,0.0251,0.2565,0.0237,0.29,Healthcare Equipment & Supplies,Europe,Sweden
Getinge AB,OTCPK:GNGB.Y,GNGB.Y,Healthcare,12999.8655,102.942,12331.0404,3187.6607,0.0251,0.2565,0.0237,0.29,Healthcare Equipment & Supplies,Europe,Sweden
WestRock Company,NYSE:WRK,WRK,Materials,12973.8265,8876.7,21872.6265,18127.1,0.0155,0.1783,0.0584,0.26,Containers & Packaging,United States,United States
WiseTech Global Limited,OTCPK:WTCH.F,WTCH.F,Information Technology,12972.2283,-211.0828,12809.3051,380.5489,0.0585,0.4289,0.0317,0.25,Software,Asia / Pacific,Australia
Whirlpool Corporation,NYSE:WHR,WHR,Consumer Discretionary,12965.0038,3209,16339.0038,21968,0.0274,0.1354,0.0275,0.22,Household Durables,United States,United States
"Steel Dynamics, Inc.",NASDAQGS:STLD,STLD,Materials,12961.2316,1978.53,14954.7696,15699.438,0.0265,0.1642,0.0491,0.23,Metals & Mining,United States,United States
Westlake Chemical Corporation,NYSE:WLK,WLK,Materials,12945.7551,2169,14673.7551,9079,0.0172,0.2079,0.0869,0.22,Chemicals,United States,United States
Kikkoman Corporation,OTCPK:KIKO.F,KIKO.F,Consumer Staples,12910.3759,-127.1909,15641.2534,4096.5027,0.04,0.1437,0.0417,0.26,Food Products,Asia / Pacific,Japan
"PulteGroup, Inc.",NYSE:PHM,PHM,Consumer Discretionary,12903.5487,820.59,13724.1387,12236.595,0.0486,0.1826,0.0052,0.26,Household Durables,United States,United States
"Jack Henry & Associates, Inc.",NASDAQGS:JKHY,JKHY,Information Technology,12893.6093,110.029,13003.6383,1758.225,0.0498,0.3654,0.0289,0.25,IT Services,United States,United States
Traton SE,OTCPK:TRAT.F,TRAT.F,Industrials,12863.7951,9964.4213,20380.6926,30986.7173,0.0436,0.1294,0.0395,0.27,Machinery,Europe,Germany
Targa Resources Corp.,NYSE:TRGP,TRGP,Energy,12852.713,6766.5,22894.013,11736.6,0.0748,0.1378,0.193,0.21,"Oil, Gas & Consumable Fuels",United States,United States
GameStop Corp.,NYSE:GME,GME,Consumer Discretionary,12835.436,-1019.4,11816.036,5587,0.0118,0.0382,0.0128,0.3,Specialty Retail,United States,United States
"CF Industries Holdings, Inc.",NYSE:CF,CF,Materials,12834.6997,3169,18715.6997,4585,0.0284,0.3998,0.175,0.19,Chemicals,United States,United States
Graco Inc.,NYSE:GGG,GGG,Industrials,12827.302,-363.707,12463.595,1918.329,0.0719,0.313,0.0439,0.18,Machinery,United States,United States
Sodexo S.A.,OTCPK:SDXA.Y,SDXA.Y,Consumer Discretionary,12826.2117,4954.7265,16833.1411,19587.1061,0.03,0.0809,0.0175,0.3,"Hotels, Restaurants & Leisure",Europe,France
Sodexo S.A.,OTCPK:SDXO.F,SDXO.F,Consumer Discretionary,12826.2117,4954.7265,16833.1411,19587.1061,0.03,0.0809,0.0175,0.3,"Hotels, Restaurants & Leisure",Europe,France
Enel Américas S.A.,NYSE:ENIA,ENIA,Utilities,12823.1001,5704.885,16663.1751,12984.01,0.0543,0.2764,0.0737,0.27,Electric Utilities,"Latin America, Middle East & Africa",Chile
Pan Pacific International Holdings Corporation,OTCPK:DQJC.Y,DQJC.Y,Consumer Discretionary,12776.7085,3546.2394,16009.0988,15381.3296,0.0316,0.0729,0.0381,0.26,Multiline Retail,Asia / Pacific,Japan
DENTSPLY SIRONA Inc.,NASDAQGS:XRAY,XRAY,Healthcare,12741.5,2058,14802.5,4071,0.0599,0.2702,0.0346,0.1,Healthcare Equipment & Supplies,United States,United States
Fisher & Paykel Healthcare Corporation Limited,OTCPK:FSPK.F,FSPK.F,Healthcare,12731.8873,-180.0154,12270.6354,1376.4402,0.0377,0.3741,0.0866,0.27,Healthcare Equipment & Supplies,Asia / Pacific,New Zealand
Darling Ingredients Inc.,NYSE:DAR,DAR,Consumer Staples,12725.7204,1524.415,13277.9334,4115.793,0.0162,0.3824,0.0847,0.13,Food Products,United States,United States
EVRAZ plc,OTCPK:EVRZ.F,EVRZ.F,Materials,12706.0704,3192,16278.4046,10949,0.0317,0.3181,0.0559,0.29,Metals & Mining,United Kingdom & Ireland,United Kingdom
Kingdee International Software Group Company Limited,OTCPK:KGDE.F,KGDE.F,Information Technology,12704.133,-495.0506,11674.0755,594.9109,0.2221,0.1315,0.0201,0.1,Software,Asia / Pacific,China
Kingdee International Software Group Company Limited,OTCPK:KGDE.Y,KGDE.Y,Information Technology,12704.133,-495.0506,11674.0755,594.9109,0.2221,0.1315,0.0201,0.1,Software,Asia / Pacific,China
Suzano S.A.,NYSE:SUZ,SUZ,Materials,12666.2695,12622.8733,26959.576,6876.6286,0.0534,0.5374,0.1835,0.3,Paper & Forest Products,"Latin America, Middle East & Africa",Brazil
Lenovo Group Limited,OTCPK:LNVG.F,LNVG.F,Information Technology,12639.8363,1019.188,13218.75,64323.703,0.0322,0.0564,0.0114,0.23,"Technology Hardware, Storage & Peripherals",Asia / Pacific,Hong Kong
Lenovo Group Limited,OTCPK:LNVG.Y,LNVG.Y,Information Technology,12639.8363,1019.188,13218.75,64323.703,0.0322,0.0564,0.0114,0.23,"Technology Hardware, Storage & Peripherals",Asia / Pacific,Hong Kong
Packaging Corporation of America,NYSE:PKG,PKG,Materials,12637.4484,1612.3,14249.7484,7094.9,0.0247,0.1924,0.06,0.26,Containers & Packaging,United States,United States
iliad S.A.,OTCPK:ILIA.F,ILIA.F,Communication Services,12632.4832,13625.4744,24580.2625,8075.1898,0.0492,0.3714,0.4067,0.35,Diversified Telecommunication Services,Europe,France
iliad S.A.,OTCPK:ILIA.Y,ILIA.Y,Communication Services,12632.4832,13625.4744,24580.2625,8075.1898,0.0492,0.3714,0.4067,0.35,Diversified Telecommunication Services,Europe,France
Globant S.A.,NYSE:GLOB,GLOB,Information Technology,12621.9418,-370.611,12251.3308,1015.286,0.1735,0.2156,0.0387,0.25,IT Services,Europe,Luxembourg
Formula One Group,NASDAQGS:FWON.A,FWON.A,Communication Services,12619.8018,1387,14382.8018,1763,0.112,0.256,0.0142,0.24,Entertainment,United States,United States
Formula One Group,NASDAQGS:FWON.K,FWON.K,Communication Services,12619.8018,1387,14382.8018,1763,0.112,0.256,0.0142,0.24,Entertainment,United States,United States
Formula One Group,OTCPK:FWON.B,FWON.B,Communication Services,12619.8018,1387,14323.0871,1763,0.112,0.256,0.0142,0.24,Entertainment,United States,United States
Barry Callebaut AG,OTCPK:BRRL.Y,BRRL.Y,Consumer Staples,12614.6671,1926.9298,14799.3579,7269.5282,0.0252,0.1103,0.0285,0.19,Food Products,Europe,Switzerland
Barry Callebaut AG,OTCPK:BYCB.F,BYCB.F,Consumer Staples,12614.6671,1926.9298,14799.3579,7269.5282,0.0252,0.1103,0.0285,0.19,Food Products,Europe,Switzerland
Power Assets Holdings Limited,OTCPK:HGKG.F,HGKG.F,Utilities,12601.5403,35.032,993.1371,165.3716,0.0023,0.801,0.0007,0.09,Electric Utilities,Asia / Pacific,Hong Kong
